order_item_id,order_id,product_id,quantity,unit_price,unit_price_after_discount,line_total,discount_percent,commission_amount,maintenance_amount,shipping_fee_item,estimated_delivery_start,estimated_delivery_end,item_status,is_campaign,product_campaign_id,customer_id,order_date
140976,87934,P000939,1,561.83,561.83,561.83,0.0,44.95,0.0,50.0,2025-12-31,2026-01-02 00:00:00,Completed,0,,C054680,2025-12-30
138495,86429,P002617,1,10272.76,10272.76,10272.76,0.0,513.64,0.0,30.0,2025-12-31,2026-01-02 00:00:00,Completed,0,,C004385,2025-12-30
106025,66271,P001279,1,25609.76,25609.76,25609.76,0.0,1280.49,0.0,50.0,2026-01-01,2026-01-02 00:00:00,Completed,0,,C016386,2025-12-30
102286,63923,P003133,4,8681.34,8681.34,34725.37,0.0,2778.03,0.0,200.0,2026-01-01,2026-01-03 00:00:00,Cancelled,0,,C029391,2025-12-30
22831,14240,P001740,1,182.59,182.59,182.59,0.0,5.48,0.0,70.0,2025-12-31,2026-01-02 00:00:00,Completed,0,,C053317,2025-12-30
430296,268614,P002655,1,2400.13,2400.13,2400.13,0.0,240.01,0.0,30.0,2026-01-01,2026-01-03 00:00:00,Completed,0,,C048666,2025-12-30
141329,88156,P004110,1,9697.42,9697.42,9697.42,0.0,484.87,48.49,30.0,2025-12-31,2026-01-02 00:00:00,Completed,0,,C057443,2025-12-30
480278,299874,P001574,3,8856.78,8856.78,26570.35,0.0,1328.52,0.0,100.0,2025-12-31,2026-01-02 00:00:00,Completed,0,,C033967,2025-12-30
226462,141429,P004196,2,11421.4,11421.4,22842.8,0.0,1827.42,114.21,200.0,2026-01-01,2026-01-03 00:00:00,Completed,0,,C033493,2025-12-30
478908,298997,P002828,1,14243.43,14243.43,14243.43,0.0,1139.47,0.0,200.0,2025-12-30,2025-12-31 00:00:00,Completed,0,,C030373,2025-12-30
428565,267524,P001472,1,14714.68,14714.68,14714.68,0.0,1177.17,0.0,200.0,2025-12-30,2026-01-01 00:00:00,Completed,0,,C016326,2025-12-30
