order_item_id,order_id,product_id,quantity,unit_price,unit_price_after_discount,line_total,discount_percent,commission_amount,maintenance_amount,shipping_fee_item,estimated_delivery_start,estimated_delivery_end,item_status,is_campaign,product_campaign_id,customer_id,order_date
102870,64308,P004056,2,22.22,22.22,44.45,0.0,1.33,0.89,30.0,2025-12-17,2025-12-19 00:00:00,Completed,0,,C052994,2025-12-15
66247,41373,P003208,1,161.17,161.17,161.17,0.0,4.84,0.0,70.0,2025-12-16,2025-12-18 00:00:00,Cancelled,0,,C010875,2025-12-15
315983,197244,P003671,1,648.48,648.48,648.48,0.0,64.85,0.0,30.0,2025-12-15,2025-12-17 00:00:00,Completed,0,,C059189,2025-12-15
21573,13455,P003239,2,75.97,75.97,151.94,0.0,4.56,0.0,70.0,2025-12-16,2025-12-18 00:00:00,Refunded,0,,C033288,2025-12-15
428835,267695,P000605,3,357.2,357.2,1071.59,0.0,32.15,0.0,50.0,2025-12-17,2025-12-18 00:00:00,Completed,0,,C047535,2025-12-15
315941,197218,P001899,2,1617.36,1617.36,3234.72,0.0,161.74,0.0,50.0,2025-12-15,2025-12-17 00:00:00,Completed,0,,C044133,2025-12-15
315933,197213,P004006,3,14001.77,14001.77,42005.32,0.0,3360.43,210.03,150.0,2025-12-16,2025-12-18 00:00:00,Completed,0,,C044133,2025-12-15
315932,197213,P002467,2,3363.84,3363.84,6727.67,0.0,538.21,0.0,100.0,2025-12-16,2025-12-18 00:00:00,Cancelled,0,,C044133,2025-12-15
428995,267790,P004861,2,13287.08,13287.08,26574.16,0.0,2125.93,132.87,200.0,2025-12-17,2025-12-19 00:00:00,Completed,0,,C036897,2025-12-15
429440,268067,P001304,1,8000.39,8000.39,8000.39,0.0,640.03,0.0,200.0,2025-12-17,2025-12-19 00:00:00,Completed,0,,C044007,2025-12-15
429441,268067,P004437,1,7819.23,7819.23,7819.23,0.0,625.54,39.1,150.0,2025-12-15,2025-12-16 00:00:00,Completed,0,,C044007,2025-12-15
315604,197017,P002247,1,3863.76,3863.76,3863.76,0.0,309.1,0.0,50.0,2025-12-16,2025-12-18 00:00:00,Refunded,0,,C017134,2025-12-15
158439,98830,P002748,1,170.72,170.72,170.72,0.0,5.12,0.0,50.0,2025-12-15,2025-12-17 00:00:00,Completed,0,,C037973,2025-12-15
429640,268194,P003468,1,4074.51,4074.51,4074.51,0.0,203.73,0.0,50.0,2025-12-17,2025-12-18 00:00:00,Completed,0,,C008272,2025-12-15
429695,268226,P003184,1,14135.75,14135.75,14135.75,0.0,706.79,0.0,100.0,2025-12-15,2025-12-17 00:00:00,Cancelled,0,,C050110,2025-12-15
196715,122844,P002848,1,758.52,758.52,758.52,0.0,91.02,0.0,20.0,2025-12-17,2025-12-19 00:00:00,Completed,0,,C021655,2025-12-15
158416,98814,P004427,2,12225.92,12225.92,24451.84,0.0,1222.59,122.26,30.0,2025-12-15,2025-12-16 00:00:00,Completed,0,,C050090,2025-12-15
134420,83851,P003390,3,8702.58,8702.58,26107.74,0.0,1305.39,0.0,100.0,2025-12-16,2025-12-18 00:00:00,Completed,0,,C039895,2025-12-15
134421,83852,P001528,3,7439.03,7439.03,22317.08,0.0,1785.37,0.0,100.0,2025-12-17,2025-12-18 00:00:00,Completed,0,,C024008,2025-12-15
429857,268329,P001855,1,12833.52,12833.52,12833.52,0.0,1026.68,0.0,200.0,2025-12-17,2025-12-19 00:00:00,Completed,0,,C006327,2025-12-15
21299,13283,P004346,1,151.86,151.86,151.86,0.0,4.56,3.04,70.0,2025-12-17,2025-12-18 00:00:00,Completed,0,,C037535,2025-12-15
21298,13283,P001812,1,4323.75,4323.75,4323.75,0.0,432.37,0.0,30.0,2025-12-15,2025-12-16 00:00:00,Completed,0,,C037535,2025-12-15
197000,123035,P002237,1,2321.79,2321.79,2321.79,0.0,116.09,0.0,20.0,2025-12-15,2025-12-17 00:00:00,Completed,0,,C016869,2025-12-15
430135,268508,P000718,1,2303.76,2303.76,2303.76,0.0,230.38,0.0,30.0,2025-12-16,2025-12-17 00:00:00,Completed,0,,C013801,2025-12-15
430185,268542,P002537,4,3224.57,3224.57,12898.29,0.0,1031.86,0.0,150.0,2025-12-16,2025-12-18 00:00:00,Completed,0,,C054221,2025-12-15
197013,123046,P002485,1,9450.58,9450.58,9450.58,0.0,756.05,0.0,200.0,2025-12-15,2025-12-17 00:00:00,Completed,0,,C045465,2025-12-15
158415,98814,P003954,1,6780.39,6780.39,6780.39,0.0,542.43,33.9,200.0,2025-12-16,2025-12-18 00:00:00,Completed,0,,C050090,2025-12-15
197014,123046,P001071,1,361.77,361.77,361.77,0.0,36.18,0.0,20.0,2025-12-16,2025-12-18 00:00:00,Cancelled,0,,C045465,2025-12-15
66601,41589,P001330,1,3713.34,3713.34,3713.34,0.0,297.07,0.0,100.0,2025-12-16,2025-12-18 00:00:00,Cancelled,0,,C012000,2025-12-15
66618,41598,P004863,1,14700.79,14700.79,14700.79,0.0,1176.06,73.5,200.0,2025-12-16,2025-12-18 00:00:00,Completed,0,,C051734,2025-12-15
